SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
ALKEM,Alkem Laboratories Limited,EQ,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,INE150B01039
ALLCARGO,Allcargo Logistics Limited,EQ,INE418H01029
ALLDIGI,Alldigi Tech Limited,EQ,INE835G01018
ALLTIME,All Time Plastics Limited,EQ,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,EQ,INE326B01035
ALOKINDS,Alok Industries Limited,EQ,INE270A01029
ALPA,Alpa Laboratories Limited,EQ,INE385I01010
ALPHAGEO,Alphageo (India) Limited,EQ,INE137C01018
ALPINETEX,Alpine Texworld Limited,EQ,INE1JCQ01037
AMAGI,Amagi Media Labs Limited,EQ,INE121R01077
AMBALALSA,Ambalal Sarabhai Enterprises Limited,EQ,INE432A01017
AMBER,Amber Enterprises India Limited,EQ,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,EQ,INE540G01014
AMBUJACEM,Ambuja Cements Limited,EQ,INE079A01024
AMDIND,AMD Industries Limited,EQ,INE005I01014
AMJLAND,Amj Land Holdings Limited,EQ,INE606A01024
AMNPLST,Amines & Plasticizers Limited,EQ,INE275D01022
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,EQ,INE463V01026
ANANTRAJ,Anant Raj Limited,EQ,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,EQ,INE715B01021
ANGELONE,Angel One Limited,EQ,INE732I01021
ANIKINDS,Anik Industries Limited,EQ,INE087B01017
ANMOL,Anmol India Limited,EQ,INE02AR01019
ANNAPURNA,Annapurna Swadisht Limited,EQ,INE0MGM01017
ANTELOPUS,Antelopus Selan Energy Limited,EQ,INE818A01017
ANTGRAPHIC,Antarctica Limited,EQ,INE414B01021
ANTHEM,Anthem Biosciences Limited,EQ,INE0CZ201020
ANUHPHR,Anuh Pharma Limited,EQ,INE489G01022
ANUP,The Anup Engineering Limited,EQ,INE294Z01018
ANURAS,Anupam Rasayan India Limited,EQ,INE930P01018
APARINDS,Apar Industries Limited,EQ,INE372A01015
APCL,Anjani Portland Cement Limited,EQ,INE071F01012
APCOTEXIND,Apcotex Industries Limited,EQ,INE116A01032
APEX,Apex Frozen Foods Limited,EQ,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,EQ,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,EQ,INE901L01018
APOLLO,Apollo Micro Systems Limited,EQ,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,EQ,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,EQ,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,INE451F01024
APTUS,Aptus Value Housing Finance India Limited,EQ,INE852O01025
AQYLON,Aqylon Nexus Limited,EQ,INE416A01051
ARCHIDPLY,Archidply Industries Limited,EQ,INE877I01016
ARCHIES,Archies Limited,EQ,INE731A01020
ARDEE,Ardee Industries Limited,EQ,INE0XNF01022
ARE&M,Amara Raja Energy & Mobility Limited,EQ,INE885A01032
ARENTERP,Rajdarshan Industries Limited,EQ,INE610C01014
ARFIN,Arfin India Limited,EQ,INE784R01023
ARIES,Aries Agro Limited,EQ,INE298I01015
ARIHANT,Arihant Foundations & Housing Limited,EQ,INE413D01011
ARIHANTCAP,Arihant Capital Markets Limited,EQ,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,EQ,INE643K01018
ARIS,Arisinfra Solutions Limited,EQ,INE0H9P01028
ARKADE,Arkade Developers Limited,EQ,INE0QRL01017
ARMANFIN,Arman Financial Services Limited,EQ,INE109C01017
AROGRANITE,Aro Granite Industries Limited,EQ,INE210C01013
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,INE549H01021
ARTEMISMED,Artemis Medicare Services Limited,EQ,INE025R01021
ARTNIRMAN,Art Nirman Limited,EQ,INE738V01013
ARVEE,Arvee Laboratories (India) Limited,EQ,INE006Z01016
ARVIND,Arvind Limited,EQ,INE034A01011
ARVINDFASN,Arvind Fashions Limited,EQ,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,EQ,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,EQ,INE439A01020
ASAL,Automotive Stampings and Assemblies Limited,EQ,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,EQ,INE348A01023
ASHIANA,Ashiana Housing Limited,EQ,INE365D01021
ASHIMASYN,Ashima Limited,EQ,INE440A01010
ASHOKA,Ashoka Buildcon Limited,EQ,INE442H01029
ASHOKAMET,Ashoka Metcast Limited,EQ,INE760Y01011
ASHOKLEY,Ashok Leyland Limited,EQ,INE208A01029
ASIANENE,Asian Energy Services Limited,EQ,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,EQ,INE363A01022
ASIANPAINT,Asian Paints Limited,EQ,INE021A01026
ASIANTILES,Asian Granito India Limited,EQ,INE022I01019
ASKAUTOLTD,ASK Automotive Limited,EQ,INE491J01022
ASPINWALL,Aspinwall and Company Limited,EQ,INE991I01015
ASTAR,Asian Star Company Limited,EQ,INE194D01017
ASTEC,Astec LifeSciences Limited,EQ,INE563J01010
ASTERDM,Aster DM Quality Care Limited,EQ,INE914M01019
ASTRAL,Astral Limited,EQ,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,EQ,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,INE203A01020
ATALREAL,Atal Realtech Limited,EQ,INE0ALR01029
ATAM,Atam Valves Limited,EQ,INE09KD01013
ATGL,Adani Total Gas Limited,EQ,INE399L01023
ATHERENERG,Ather Energy Limited,EQ,INE0LEZ01016
ATL,Allcargo Terminals Limited,EQ,INE0NN701020
ATLANTAA,ATLANTAA LIMITED,EQ,INE285H01022
ATLANTAELE,Atlanta Electricals Limited,EQ,INE0Z4F01028
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,INE446A01025
ATUL,Atul Limited,EQ,INE100A01010
ATULAUTO,Atul Auto Limited,EQ,INE951D01028
AUBANK,AU Small Finance Bank Limited,EQ,INE949L01017
AURIONPRO,Aurionpro Solutions Limited,EQ,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,EQ,INE406A01037
AURUM,Aurum PropTech Limited,EQ,INE898S01029
AURUS,AURUS GEM CORPORATION LIMITED,EQ,INE142K01011
AUSOMENT,Ausom Enterprise Limited,EQ,INE218C01016
AUTOAXLES,Automotive Axles Limited,EQ,INE449A01011
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,INE349W01017
AVALON,Avalon Technologies Limited,EQ,INE0LCL01028
AVANTEL,Avantel Limited,EQ,INE005B01027
AVANTIFEED,Avanti Feeds Limited,EQ,INE871C01038
AVL,Aditya Vision Limited,EQ,INE679V01027
AVONMORE,Avonmore Capital & Management Services Limited,EQ,INE323B01024
AVROIND,AVRO INDIA LIMITED,EQ,INE652Z01025
AVTNPL,AVT Natural Products Limited,EQ,INE488D01021
AWFIS,Awfis Space Solutions Limited,EQ,INE108V01019
AWHCL,Antony Waste Handling Cell Limited,EQ,INE01BK01022
AWL,AWL Agri Business Limited,EQ,INE699H01024
AXISBANK,Axis Bank Limited,EQ,INE238A01034
AXISCADES,AXISCADES Technologies Limited,EQ,INE555B01013
AXITA,Axita Cotton Limited,EQ,INE02EZ01022
AYE,Aye Finance Limited,EQ,INE501X01029
AYMSYNTEX,AYM Syntex Limited,EQ,INE193B01039
AZAD,Azad Engineering Limited,EQ,INE02IJ01035
BAGFILMS,B.A.G Films and Media Limited,EQ,INE116D01028
BAIDFIN,Baid Finserv Limited,EQ,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,EQ,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,EQ,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,EQ,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,EQ,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,EQ,INE411U01027
BAJAJHFL,Bajaj Housing Finance Limited,EQ,INE377Y01014
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,INE118A01012
BAJAJINDEF,Indef Manufacturing Limited,EQ,INE0O9T01021
BAJAJST,Bajaj Steel Industries Limited,EQ,INE704G01024
BAJEL,Bajel Projects Limited,EQ,INE0KQN01018
BAJFINANCE,Bajaj Finance Limited,EQ,INE296A01032
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,INE0S2G01011
BALAJITELE,Balaji Telefilms Limited,EQ,INE794B01026
BALAMINES,Balaji Amines Limited,EQ,INE050E01027
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,INE618N01022
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,INE875R01011
BALKRISIND,Balkrishna Industries Limited,EQ,INE787D01026
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,INE164A01016
BALPHARMA,Bal Pharma Limited,EQ,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,INE119A01028
BALUFORGE,Balu Forge Industries Limited,EQ,INE011E01029
BANARBEADS,Banaras Beads Limited,EQ,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,EQ,INE459A01010
BANCOINDIA,Banco Products (I) Limited,EQ,INE213C01025
BANDHANBNK,Bandhan Bank Limited,EQ,INE545U01014
BANG,Bang Overseas Limited,EQ,INE863I01016
BANKA,Banka BioLoo Limited,EQ,INE862Y01015
BANKBARODA,Bank of Baroda,EQ,INE028A01039
