SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
CTE,Cambridge Technology Enterprises Limited,EQ,INE627H01017
CUB,City Union Bank Limited,EQ,INE491A01021
CUBEXTUB,Cubex Tubings Limited,EQ,INE144D01012
CUMMINSIND,Cummins India Limited,EQ,INE298A01020
CUPID,Cupid Limited,EQ,INE509F01029
CURAA,Cura Technologies Limited,EQ,INE117B01020
CYIENT,Cyient Limited,EQ,INE136B01020
CYIENTDLM,Cyient DLM Limited,EQ,INE055S01018
DABUR,Dabur India Limited,EQ,INE016A01026
DAICHI,Dai-Ichi Karkaria Limited,EQ,INE928C01010
DALBHARAT,Dalmia Bharat Limited,EQ,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,INE495A01022
DAMCAPITAL,Dam Capital Advisors Limited,EQ,INE284H01025
DANGEE,Dangee Dums Limited,EQ,INE688Y01022
DATAMATICS,Datamatics Global Services Limited,EQ,INE365B01017
DATAPATTNS,Data Patterns (India) Limited,EQ,INE0IX101010
DAVANGERE,Davangere Sugar Company Limited,EQ,INE179G01029
DBCORP,D.B.Corp Limited,EQ,INE950I01011
DBL,Dilip Buildcon Limited,EQ,INE917M01012
DBOL,Dhampur Bio Organics Limited,EQ,INE0I3401014
DBREALTY,Valor Estate Limited,EQ,INE879I01012
DCAL,Dishman Carbogen Amcis Limited,EQ,INE385W01011
DCBBANK,DCB Bank Limited,EQ,INE503A01015
DCI,Dc Infotech And Communication Limited,EQ,INE0A1101019
DCMFINSERV,DCM Financial Services Limited,EQ,INE891B01012
DCMNVL,DCM Nouvelle Limited,EQ,INE08KP01019
DCMSHRIRAM,DCM Shriram Limited,EQ,INE499A01024
DCMSRIND,DCM Shriram Industries Limited,EQ,INE843D01027
DCW,DCW Limited,EQ,INE500A01029
DCXINDIA,DCX Systems Limited,EQ,INE0KL801015
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,INE0HR601026
DECCANCE,Deccan Cements Limited,EQ,INE583C01021
DECNGOLD,Deccan Gold Mines Limited,EQ,INE945F01025
DEEDEV,DEE Development Engineers Limited,EQ,INE841L01016
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,INE501A01019
DEEPAKNTR,Deepak Nitrite Limited,EQ,INE288B01029
DEEPINDS,Deep Industries Limited,EQ,INE0FHS01024
DELHIVERY,Delhivery Limited,EQ,INE148O01028
DELTACORP,Delta Corp Limited,EQ,INE124G01033
DELTAMAGNT,Delta Manufacturing Limited,EQ,INE393A01011
DEN,Den Networks Limited,EQ,INE947J01015
DENORA,De Nora India Limited,EQ,INE244A01016
DENTA,Denta Water and Infra Solutions Limited,EQ,INE0R4L01018
DEVIT,Dev Information Technology Limited,EQ,INE060X01034
DEVX,Dev Accelerator Limited,EQ,INE0VOV01021
DEVYANI,Devyani International Limited,EQ,INE872J01023
DGCONTENT,Digicontent Limited,EQ,INE03JI01017
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,INE041A01016
DHANBANK,Dhanlaxmi Bank Limited,EQ,INE680A01011
DHANUKA,Dhanuka Agritech Limited,EQ,INE435G01025
DHARMAJ,Dharmaj Crop Guard Limited,EQ,INE00OQ01016
DHRUV,Dhruv Consultancy Services Limited,EQ,INE506Z01015
DHUNINV,Dhunseri Investments Limited,EQ,INE320L01011
DIAMINESQ,Diamines & Chemicals Limited,EQ,INE591D01014
DIAMONDYD,Prataap Snacks Limited,EQ,INE393P01035
DICIND,DIC India Limited,EQ,INE303A01010
DIFFNKG,Diffusion Engineers Limited,EQ,INE184O01015
DIGIDRIVE,Digidrive Distributors Limited,EQ,INE0PSC01024
DIGISPICE,DiGiSPICE Technologies Limited,EQ,INE927C01020
DIGITIDE,Digitide Solutions Limited,EQ,INE0U4701011
DIGJAMLMTD,Digjam Limited,EQ,INE731U01028
DISAQ,Disa India Limited,EQ,INE131C01011
DISHTV,Dish TV India Limited,EQ,INE836F01026
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,INE753U01022
DIVISLAB,Divi's Laboratories Limited,EQ,INE361B01024
DIXON,Dixon Technologies (India) Limited,EQ,INE935N01020
DJML,DJ Mediaprint & Logistics Limited,EQ,INE0B1K01014
DLF,DLF Limited,EQ,INE271C01023
DLINKINDIA,D-Link (India) Limited,EQ,INE250K01012
DMART,Avenue Supermarts Limited,EQ,INE192R01011
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,INE505A01010
DNAMEDIA,Diligent Media Corporation Limited,EQ,INE016M01021
DODLA,Dodla Dairy Limited,EQ,INE021O01019
DOLATALGO,Dolat Algotech Limited,EQ,INE966A01022
DOLLAR,Dollar Industries Limited,EQ,INE325C01035
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,INE920A01037
DOMS,DOMS Industries Limited,EQ,INE321T01012
DONEAR,Donear Industries Limited,EQ,INE668D01028
DPABHUSHAN,D. P. Abhushan Limited,EQ,INE266Y01019
DRAGARWQ,Dr Agarwals Eye Hospital Limited,EQ,INE934C01018
DRCSYSTEMS,DRC Systems India Limited,EQ,INE03RS01027
DREAMFOLKS,Dreamfolks Services Limited,EQ,INE0JS101016
DREDGECORP,Dredging Corporation of India Limited,EQ,INE506A01018
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,INE089A01031
DSSL,Dynacons Systems & Solutions Limited,EQ,INE417B01040
DTIL,Dhunseri Tea & Industries Limited,EQ,INE341R01014
DUCON,Ducon Infratechnologies Limited,EQ,INE741L01018
DVL,Dhunseri Ventures Limited,EQ,INE477B01010
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,INE366A01041
DYCL,Dynamic Cables Limited,EQ,INE600Y01019
DYNAMATECH,Dynamatic Technologies Limited,EQ,INE221B01012
DYNPRO,Dynemic Products Limited,EQ,INE256H01015
EASEMYTRIP,Easy Trip Planners Limited,EQ,INE07O001026
EBGNG,GNG Electronics Limited,EQ,INE18JU01028
ECLERX,eClerx Services Limited,EQ,INE738I01010
EDELWEISS,Edelweiss Financial Services Limited,EQ,INE532F01054
EFCIL,EFC (I) Limited,EQ,INE886D01026
EICHERMOT,Eicher Motors Limited,EQ,INE066A01021
EIDPARRY,EID Parry India Limited,EQ,INE126A01031
EIEL,Enviro Infra Engineers Limited,EQ,INE0LLY01014
EIHAHOTELS,EIH Associated Hotels Limited,EQ,INE276C01014
EIHOTEL,EIH Limited,EQ,INE230A01023
EIMCOELECO,Eimco Elecon (India) Limited,EQ,INE158B01016
EKC,Everest Kanto Cylinder Limited,EQ,INE184H01027
ELANTAS,Elantas Beck India Limited,EQ,INE280B01018
ELCIDIN,EL CID Investments Limited,EQ,INE927X01018
ELDEHSG,Eldeco Housing And Industries Limited,EQ,INE668G01021
ELECON,Elecon Engineering Company Limited,EQ,INE205B01031
ELECTCAST,Electrosteel Castings Limited,EQ,INE086A01029
ELECTHERM,Electrotherm (India) Limited,EQ,INE822G01016
ELGIEQUIP,Elgi Equipments Limited,EQ,INE285A01027
ELGIRUBCO,Elgi Rubber Company Limited,EQ,INE819L01012
ELIN,Elin Electronics Limited,EQ,INE050401020
ELITECON,Elitecon International Limited,EQ,INE669R01026
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,INE236E01022
ELPROINTL,Elpro International Limited,EQ,INE579B01039
EMAMILTD,Emami Limited,EQ,INE548C01032
EMAMIREAL,Emami Realty Limited,EQ,INE778K01012
EMBDL,Embassy Developments Limited,EQ,INE069I01010
EMCURE,Emcure Pharmaceuticals Limited,EQ,INE168P01015
EMIL,Electronics Mart India Limited,EQ,INE02YR01019
EMKAY,Emkay Global Financial Services Limited,EQ,INE296H01011
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,INE1C6T01020
EMSLIMITED,EMS Limited,EQ,INE0OV601013
EMUDHRA,eMudhra Limited,EQ,INE01QM01018
ENDURANCE,Endurance Technologies Limited,EQ,INE913H01037
ENERGYDEV,Energy Development Company Limited,EQ,INE306C01019
ENGINERSIN,Engineers India Limited,EQ,INE510A01028
ENIL,Entertainment Network (India) Limited,EQ,INE265F01028
ENRIN,Siemens Energy India Limited,EQ,INE1NPP01017
ENTERO,Entero Healthcare Solutions Limited,EQ,INE010601016
EPACK,EPACK Durable Limited,EQ,INE0G5901015
EPACKPEB,EPack Prefab Technologies Limited,EQ,INE0MLS01022
EPIGRAL,Epigral Limited,EQ,INE071N01016
EPL,EPL Limited,EQ,INE255A01020
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,INE063P01018
ERIS,Eris Lifesciences Limited,EQ,INE406M01024
ESABINDIA,Esab India Limited,EQ,INE284A01012
ESCORTS,Escorts Kubota Limited,EQ,INE042A01014
ESSARSHPNG,Essar Shipping Limited,EQ,INE122M01019
ESSENTIA,Integra Essentia Limited,EQ,INE418N01035
ESTER,Ester Industries Limited,EQ,INE778B01029
ETERNAL,ETERNAL LIMITED,EQ,INE758T01015
ETHOSLTD,Ethos Limited,EQ,INE04TZ01018
EUREKAFORB,Eureka Forbes Limited,EQ,INE0KCE01017
EUROBOND,Euro Panel Products Limited,EQ,INE505V01016
EUROPRATIK,Euro Pratik Sales Limited,EQ,INE198501012
EVEREADY,Eveready Industries India Limited,EQ,INE128A01029
EXCELINDUS,Excel Industries Limited,EQ,INE369A01029
EXCELSOFT,Excelsoft Technologies Limited,EQ,INE606N01019
EXICOM,Exicom Tele-Systems Limited,EQ,INE777F01014
EXIDEIND,Exide Industries Limited,EQ,INE302A01020
EXPLEOSOL,Expleo Solutions Limited,EQ,INE201K01015
EXXARO,Exxaro Tiles Limited,EQ,INE0GFE01026
FABTECH,Fabtech Technologies Limited,EQ,INE0HF201011
FACT,Fertilizers and Chemicals Travancore Limited,EQ,INE188A01015
FAZE3Q,Faze Three Limited,EQ,INE963C01033
FCL,Fineotex Chemical Limited,EQ,INE045J01034
FCSSOFT,FCS Software Solutions Limited,EQ,INE512B01022
FDC,FDC Limited,EQ,INE258B01022
FEDDERSHOL,Fedders Holding Limited,EQ,INE417D01020
FEDERALBNK,The Federal Bank  Limited,EQ,INE171A01029
FEDFINA,Fedbank Financial Services Limited,EQ,INE007N01010
FERMENTA,Fermenta Biotech Limited,EQ,INE225B01021
FIBERWEB,Fiberweb (India) Limited,EQ,INE296C01020
FIEMIND,Fiem Industries Limited,EQ,INE737H01014
FILATEX,Filatex India Limited,EQ,INE816B01035
FILATFASH,Filatex Fashions Limited,EQ,INE185E01021
FINCABLES,Finolex Cables Limited,EQ,INE235A01022
FINEORG,Fine Organic Industries Limited,EQ,INE686Y01026
FINKURVE,Finkurve Financial Services Limited,EQ,INE734I01027
FINOPB,Fino Payments Bank Limited,EQ,INE02NC01014
FINPIPE,Finolex Industries Limited,EQ,INE183A01024
FIRSTCRY,Brainbees Solutions Limited,EQ,INE02RE01045
FISCHER,Fischer Medical Ventures Limited,EQ,INE771F01041
FIVESTAR,Five-Star Business Finance Limited,EQ,INE128S01021
FLAIR,Flair Writing Industries Limited,EQ,INE00Y201027
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,INE09N301011
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,INE529A01010
FOODSIN,Foods & Inns Limited,EQ,INE976E01023
FORCEMOT,FORCE MOTORS LTD,EQ,INE451A01017
FORTIS,Fortis Healthcare Limited,EQ,INE061F01013
FOSECOIND,Foseco India Limited,EQ,INE519A01011
FRACTAL,Fractal Analytics Limited,EQ,INE212S01015
FRONTSP,Frontier Springs Limited,EQ,INE572D01014
FSL,Firstsource Solutions Limited,EQ,INE684F01012
FUSION,Fusion Finance Limited,EQ,INE139R01012
GABRIEL,Gabriel India Limited,EQ,INE524A01029
GAEL,Gujarat Ambuja Exports Limited,EQ,INE036B01030
GAIL,GAIL (India) Limited,EQ,INE129A01019
GALAPREC,Gala Precision Engineering Limited,EQ,INE0RE001014
GALAXYSURF,Galaxy Surfactants Limited,EQ,INE600K01018
GALLANTT,Gallantt Ispat Limited,EQ,INE297H01019
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,INE717W01049
GANDHITUBE,Gandhi Special Tubes Limited,EQ,INE524B01027
GANECOS,Ganesha Ecosphere Limited,EQ,INE845D01014
GANESHCP,Ganesh Consumer Products Limited,EQ,INE652V01016
GANESHHOU,GANESH HOUSING LIMITED,EQ,INE460C01014
GANGAFORGE,Ganga Forging Limited,EQ,INE691Z01023
GANGESSECU,Ganges Securities Limited,EQ,INE335W01016
GARFIBRES,Garware Technical Fibres Limited,EQ,INE276A01018
GARUDA,Garuda Construction and Engineering Limited,EQ,INE0JVO01026
GATEWAY,Gateway Distriparks Limited,EQ,INE079J01017
GAYAHWS,Gayatri Highways Limited,EQ,INE287Z01012
GCSL,Gretex Corporate Services Limited,EQ,INE199P01028
GEEKAYWIRE,Geekay Wires Limited,EQ,INE669X01032
GEMAROMA,Gem Aromatics Limited,EQ,INE06XZ01023
GENCON,Generic Engineering Construction and Projects Limited,EQ,INE854S01022
GENESYS,Genesys International Corporation Limited,EQ,INE727B01026
GENUSPAPER,Genus Paper & Boards Limited,EQ,INE949P01018
GENUSPOWER,Genus Power Infrastructures Limited,EQ,INE955D01029
GEOJITFSL,Geojit Financial Services Limited,EQ,INE007B01023
GESHIP,The Great Eastern Shipping Company Limited,EQ,INE017A01032
GFLLIMITED,GFL Limited,EQ,INE538A01037
GHCL,GHCL Limited,EQ,INE539A01019
GHCLTEXTIL,GHCL Textiles Limited,EQ,INE0PA801013
GICHSGFIN,GIC Housing Finance Limited,EQ,INE289B01019
GICL,Globe International Carriers Limited,EQ,INE947T01022
GICRE,General Insurance Corporation of India,EQ,INE481Y01014
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,INE047B01011
GILLETTE,Gillette India Limited,EQ,INE322A01010
GIPCL,Gujarat Industries Power Company Limited,EQ,INE162A01010
GKENERGY,GK Energy Limited,EQ,INE1AG301022
GKSL,Gujarat Kidney And Super Speciality Limited,EQ,INE0V0W01025
GKWLIMITED,GKW Limited,EQ,INE528A01020
GLAND,Gland Pharma Limited,EQ,INE068V01023
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,INE935A01035
GLFL,Gujarat Lease Financing Limited,EQ,INE540A01017
GLOBAL,Global Education Limited,EQ,INE291W01037
GLOBALE,Globale Tessile Limited,EQ,INE0URU01010
GLOBALVECT,Global Vectra Helicorp Limited,EQ,INE792H01019
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,INE581X01021
GLOBECIVIL,Globe Civil Projects Limited,EQ,INE0V3U01015
GLOBUSSPR,Globus Spirits Limited,EQ,INE615I01010
GLOSTERLTD,Gloster Limited,EQ,INE350Z01018
GMBREW,GM Breweries Limited,EQ,INE075D01018
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,INE131A01031
GMMPFAUDLR,GMM Pfaudler Limited,EQ,INE541A01023
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,INE776C01039
GMRP&UI,GMR Power and Urban Infra Limited,EQ,INE0CU601026
GNA,GNA Axles Limited,EQ,INE934S01014
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,INE113A01013
GNRL,Gujarat Natural Resources Limited,EQ,INE207H01018
GOACARBON,Goa Carbon Limited,EQ,INE426D01013
GOCLCORP,GOCL Corporation Limited,EQ,INE077F01035
GOCOLORS,Go Fashion (India) Limited,EQ,INE0BJS01011
GODAVARIB,Godavari Biorefineries Limited,EQ,INE497S01012
GODFRYPHLP,Godfrey Phillips India Limited,EQ,INE260B01028
GODIGIT,Go Digit General Insurance Limited,EQ,INE03JT01014
GODREJAGRO,Godrej Agrovet Limited,EQ,INE850D01014
GODREJCP,Godrej Consumer Products Limited,EQ,INE102D01028
GODREJIND,Godrej Industries Limited,EQ,INE233A01035
GODREJPROP,Godrej Properties Limited,EQ,INE484J01027
GOKEX,Gokaldas Exports Limited,EQ,INE887G01027
GOKUL,Gokul Refoils and Solvent Limited,EQ,INE020J01029
GOKULAGRO,Gokul Agro Resources Limited,EQ,INE314T01033
GOLDIAM,Goldiam International Limited,EQ,INE025B01025
GOODLUCK,Goodluck India Limited,EQ,INE127I01024
GOODYEAR,Goodyear India Limited,EQ,INE533A01012
GOPAL,Gopal Snacks Limited,EQ,INE0L9R01028
GOYALALUM,Goyal Aluminiums Limited,EQ,INE705X01026
GPIL,Godawari Power And Ispat limited,EQ,INE177H01039
GPPL,Gujarat Pipavav Port Limited,EQ,INE517F01014
GPTHEALTH,GPT Healthcare Limited,EQ,INE486R01017
GPTINFRA,GPT Infraprojects Limited,EQ,INE390G01014
GRADIENTE,Gradiente Infotainment Limited,EQ,INE361K01017
GRANDOAK,Grand Oak Canyons Distillery Limited,EQ,INE926B01016
GRANULES,Granules India Limited,EQ,INE101D01020
GRAPHITE,Graphite India Limited,EQ,INE371A01025
GRASIM,Grasim Industries Limited,EQ,INE047A01021
GRAUWEIL,Grauer & Weil India Limited,EQ,INE266D01021
GRAVISSHO,Graviss Hospitality Limited,EQ,INE214F01026
GRAVITA,Gravita India Limited,EQ,INE024L01027
GREAVESCOT,Greaves Cotton Limited,EQ,INE224A01026
GREENLAM,Greenlam Industries Limited,EQ,INE544R01021
GREENPANEL,Greenpanel Industries Limited,EQ,INE08ZM01014
GREENPLY,Greenply Industries Limited,EQ,INE461C01038
GREENPOWER,Orient Green Power Company Limited,EQ,INE999K01014
GRINDWELL,Grindwell Norton Limited,EQ,INE536A01023
GRINFRA,G R Infraprojects Limited,EQ,INE201P01022
GRMOVER,GRM Overseas Limited,EQ,INE192H01020
GROBTEA,The Grob Tea Company Limited,EQ,INE646C01018
GROWW,Billionbrains Garage Ventures Limited,EQ,INE0HOQ01053
GRPLTD,GRP Limited,EQ,INE137I01015
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,INE382Z01011
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,INE291A01017
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,INE026A01025
GSLSU,Global Surfaces Limited,EQ,INE0JSX01015
GSPCROP,GSP Crop Science Limited,EQ,INE713R01022
GSS,GSS Infotech Limited,EQ,INE871H01011
GTL,GTL Limited,EQ,INE043A01012
GTLINFRA,GTL Infrastructure Limited,EQ,INE221H01019
GTPL,GTPL Hathway Limited,EQ,INE869I01013
GUFICBIO,Gufic Biosciences Limited,EQ,INE742B01025
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,INE186A01019
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,INE826C01016
GUJENERGY,GUJARAT ENERGY LIMITED,EQ,INE844O01030
GUJRAFFIA,Gujarat Raffia Industries Limited,EQ,INE610B01024
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,INE942C01045
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,INE635Q01029
GULPOLY,Gulshan Polyols Limited,EQ,INE255D01024
GVPIL,GE Power India Limited,EQ,INE878A01011
GVPTECH,GVP Infotech Limited,EQ,INE382T01030
GVT&D,GE Vernova T&D India Limited,EQ,INE200A01026
GYFTR,Gyftr Limited,EQ,INE724A01017
HAL,Hindustan Aeronautics Limited,EQ,INE066F01020
HALDER,Halder Venture Limited,EQ,INE115S01010
HALEOSLABS,HALEOS LABS LIMITED,EQ,INE320X01016
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,INE419U01012
HAPPYFORGE,Happy Forgings Limited,EQ,INE330T01021
HARDWYN,Hardwyn India Limited,EQ,INE626Z01029
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,INE00EV01017
HARRMALAYA,Harrisons  Malayalam Limited,EQ,INE544A01019
HARSHA,Harsha Engineers International Limited,EQ,INE0JUS01029
HATHWAY,Hathway Cable & Datacom Limited,EQ,INE982F01036
HATSUN,Hatsun Agro Product Limited,EQ,INE473B01035
HAVELLS,Havells India Limited,EQ,INE176B01034
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,INE293B01029
HAWKINCOOK,Hawkins Cookers Limited,EQ,INE979B01015
HBESD,HB Estate Developers Limited,EQ,INE640B01021
HBLENGINE,HBL Engineering Limited,EQ,INE292B01021
HBSL,HB Stockholdings Limited,EQ,INE550B01022
HCC,Hindustan Construction Company Limited,EQ,INE549A01026
HCG,Healthcare Global Enterprises Limited,EQ,INE075I01017
HCL-INSYS,HCL Infosystems Limited,EQ,INE236A01020
HCLTECH,HCL Technologies Limited,EQ,INE860A01027
HDBFS,HDB Financial Services Limited,EQ,INE756I01012
HDFCAMC,HDFC Asset Management Company Limited,EQ,INE127D01025
HDFCBANK,HDFC Bank Limited,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,INE795G01014
HEADSUP,Heads UP Ventures Limited,EQ,INE759V01019
HEALTHX,Health X Platform Limited,EQ,INE019J01013
HECPROJECT,HEC Infra Projects Limited,EQ,INE558R01013
HEG,HEG Limited,EQ,INE545A01024
HEIDELBERG,HeidelbergCement India Limited,EQ,INE578A01017
HEMIPROP,Hemisphere Properties India Limited,EQ,INE0AJG01018
HERANBA,Heranba Industries Limited,EQ,INE694N01015
HERITGFOOD,Heritage Foods Limited,EQ,INE978A01027
HEROMOTOCO,Hero MotoCorp Limited,EQ,INE158A01026
HESTERBIO,Hester Biosciences Limited,EQ,INE782E01017
HEXATRADEX,Hexa Tradex Limited,EQ,INE750M01017
HEXT,Hexaware Technologies Limited,EQ,INE093A01041
HFCL,HFCL Limited,EQ,INE548A01028
HGINFRA,H.G. Infra Engineering Limited,EQ,INE926X01010
HGM,HandsOn Global Management (HGM) Limited,EQ,INE596H01014
HGS,Hinduja Global Solutions Limited,EQ,INE170I01016
HIKAL,Hikal Limited,EQ,INE475B01022
HILINFRA,Highway Infrastructure Limited,EQ,INE00RL01028
HIMATSEIDE,Himatsingka Seide Limited,EQ,INE049A01027
HINDALCO,Hindalco Industries Limited,EQ,INE038A01020
HINDCOMPOS,Hindustan Composites Limited,EQ,INE310C01029
HINDCON,Hindcon Chemicals Limited,EQ,INE642Y01029
HINDCOPPER,Hindustan Copper Limited,EQ,INE531E01026
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,INE345A01011
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,INE094A01015
HINDUNILVR,Hindustan Unilever Limited,EQ,INE030A01027
HINDWAREAP,Hindware Home Innovation Limited,EQ,INE05AN01011
HINDZINC,Hindustan Zinc Limited,EQ,INE267A01025
HIRECT,Hind Rectifiers Limited,EQ,INE835D01023
HISARMETAL,Hisar Metal Industries Limited,EQ,INE598C01011
HITECH,Hi-Tech Pipes Limited,EQ,INE106T01025
HLEGLAS,HLE Glascoat Limited,EQ,INE461D01028
HLVLTD,HLV LIMITED,EQ,INE102A01024
HMAAGRO,HMA Agro Industries Limited,EQ,INE0ECP01024
HNDFDS,Hindustan Foods Limited,EQ,INE254N01026
HOMEFIRST,Home First Finance Company India Limited,EQ,INE481N01025
HONASA,Honasa Consumer Limited,EQ,INE0J5401028
HONAUT,Honeywell Automation India Limited,EQ,INE671A01010
HONDAPOWER,Honda India Power Products Limited,EQ,INE634A01018
HPAL,HP Adhesives Limited,EQ,INE0GSL01024
HPIL,Hindprakash Industries Limited,EQ,INE05X901010
HPL,HPL Electric & Power Limited,EQ,INE495S01016
HSCL,Himadri Speciality Chemical Limited,EQ,INE019C01026
HTMEDIA,HT Media Limited,EQ,INE501G01024
HUBTOWN,Hubtown Limited,EQ,INE703H01016
HUDCO,Housing & Urban Development Corporation Limited,EQ,INE031A01017
HUHTAMAKI,Huhtamaki India Limited,EQ,INE275B01026
HYUNDAI,Hyundai Motor India Limited,EQ,INE0V6F01027
IBULLSLTD,Indiabulls Limited,EQ,INE126M01010
ICDSLTD,ICDS Limited,EQ,INE613B01010
ICEMAKE,Ice Make Refrigeration Limited,EQ,INE520Y01019
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ,INE346A01027
ICICIBANK,ICICI Bank Limited,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,INE726G01019
ICIL,Indo Count Industries Limited,EQ,INE483B01026
ICRA,ICRA Limited,EQ,INE725G01011
IDBI,IDBI Bank Limited,EQ,INE008A01015
IDEA,Vodafone Idea Limited,EQ,INE669E01016
IDEAFORGE,Ideaforge Technology Limited,EQ,INE349Y01013
IDFCFIRSTB,IDFC First Bank Limited,EQ,INE092T01019
IEX,Indian Energy Exchange Limited,EQ,INE022Q01020
IFBIND,IFB Industries Limited,EQ,INE559A01017
IFCI,IFCI Limited,EQ,INE039A01010
IFGLEXPOR,IFGL Refractories Limited,EQ,INE133Y01011
IGARASHI,Igarashi Motors India Limited,EQ,INE188B01013
IGCL,Indogulf Cropsciences Limited,EQ,INE05J901018
IGIL,International Gemological Institute Limited,EQ,INE0Q9301021
IGL,Indraprastha Gas Limited,EQ,INE203G01027
IGPL,IG Petrochemicals Limited,EQ,INE204A01010
IIFL,IIFL Finance Limited,EQ,INE530B01024
IIFLCAPS,IIFL Capital Services Limited,EQ,INE489L01022
IITL,Industrial Investment Trust Limited,EQ,INE886A01014
IKIO,IKIO Technologies Limited,EQ,INE0LOJ01019
IKS,Inventurus Knowledge Solutions Limited,EQ,INE115Q01022
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,INE172N01012
IMFA,Indian Metals & Ferro Alloys Limited,EQ,INE919H01018
IMPAL,India Motor Parts and Accessories Limited,EQ,INE547E01014
INA,Insolation Energy Limited,EQ,INE0LGX01024
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,INE452L01012
INDBANK,Indbank Merchant Banking Services Limited,EQ,INE841B01017
INDGN,Indegene Limited,EQ,INE065X01017
INDHOTEL,The Indian Hotels Company Limited,EQ,INE053A01029
INDIACEM,The India Cements Limited,EQ,INE383A01012
INDIAGLYCO,India Glycols Limited,EQ,INE560A01023
INDIAMART,Indiamart Intermesh Limited,EQ,INE933S01016
INDIANB,Indian Bank,EQ,INE562A01011
INDIANCARD,Indian Card Clothing Company Limited,EQ,INE061A01014
INDIANHUME,Indian Hume Pipe Company Limited,EQ,INE323C01030
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,INE922K01024
INDIGO,InterGlobe Aviation Limited,EQ,INE646L01027
INDIGOPNTS,Indigo Paints Limited,EQ,INE09VQ01012
INDIQUBE,Indiqube Spaces Limited,EQ,INE06ST01018
INDNIPPON,India Nippon Electricals Limited,EQ,INE092B01025
INDOBORAX,Indo Borax & Chemicals Limited,EQ,INE803D01021
INDOCO,Indoco Remedies Limited,EQ,INE873D01024
INDOFARM,Indo Farm Equipment Limited,EQ,INE622H01018
INDOMIM,INDO-MIM Limited,EQ,INE084101034
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,INE156A01020
INDOSTAR,IndoStar Capital Finance Limited,EQ,INE896L01010
INDOTECH,Indo Tech Transformers Limited,EQ,INE332H01014
INDOTHAI,Indo Thai Securities Limited,EQ,INE337M01021
INDOUS,Indo Us Biotech Limited,EQ,INE250Z01010
INDOWIND,Indowind Energy Limited,EQ,INE227G01018
INDPRUD,Industrial & Prudential Investment Company Limited,EQ,INE620D01011
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,INE681B01017
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,INE915B01019
INDTERRAIN,Indian Terrain Fashions Limited,EQ,INE611L01021
INDUSINDBK,IndusInd Bank Limited,EQ,INE095A01012
INDUSTOWER,Indus Towers Limited,EQ,INE121J01017
INFOBEAN,InfoBeans Technologies Limited,EQ,INE344S01016
INFOMEDIA,Infomedia Press Limited,EQ,INE669A01022
INFY,Infosys Limited,EQ,INE009A01021
